OldSampleID,FishCode,ID,FishID,SampleID,Date,Lat,Long,Section,Edge,VR,DrillSize,FL_cm,CalcTL,Sex,Lifestage,FinalAge,FinalMat,Weight,d15N,relN,Area.All,d13C,relC,Area.All2,Area.All3,d34S_uncorr,d34S,relS,ug.N,ug.C,ug.S,CNratio
PM14021253-S7,PM14021253,06,06M,06M-7,13/09/2014,5.51666667,-25.99166667,7,N,13,1,228,285,M,Adult,21,3,0.0492,10.92,-1.935,9.38,-14.254,-0.876,17.555,0.773,13.915,15.8183565,0.5711033,7.907911493,25.18388998,0.361048645,3.715419046
PM10022029-S6,PM10022029,13,13F,13F-6,04/12/2010,19.10833333,-21.66666667,6,Y,11.25,1.5,210,262.5,F,Adult,14,2,0.0499,10.143,0.109,8.963,-13.721,-0.294,16.13,0.81,14.011,15.9327021,0.0070413,7.602203769,23.63901286,0.366771709,3.627743899
PM10011567-S6,PM10011567,08,08M,08M-6,08/02/2010,14.43333333,-26.475,6,Y,11.25,1.5,205,256.25,M,Adult,15,3,0.0555,10.079,-1.334,9.651,-13.518,-0.689,16.598,0.787,14.163,16.0914357,1.5308808,8.59459917,25.8699446,0.363365458,3.511693964
PM10020597-S6,PM10020597,10,10M,10M-6,11/02/2010,15.58333333,-23.025,6,Y,11.25,1.5,220,275,M,Adult,15,3,0.049,10.73,-0.791,8.357,-13.711,-0.309,14.732,0.665,13.331,15.0902366,-0.1941732,7.402804799,21.64465453,0.314506244,3.411152615
PM11021125-S6,PM11021125,16,16M,16M-6,16/09/2011,0.35833333,-24.825,6,Y,11.25,1.5,223,278.75,M,Adult,17,3,0.0449,9.507,-1.365,8.842,-13.68,-0.71,15.562,0.696,13.215,14.9845865,-0.3620944,7.505589269,22.89341034,0.333508403,3.558545209
PM10021294-S7,PM10021294,02,02F,02F-7,08/12/2010,17.31666667,-21.85,7,Y,13,1,249,311.25,F,Adult,17,6,0.0568,10.43,-2.195,11.588,-13.68,-0.563,20.564,0.828,13.638,15.4884218,-0.5921788,9.665313594,29.12495088,0.37732276,3.515572364
PM11030030-S6,PM11030030,04,04M,04M-6,07/10/2011,1.74166667,-23.80833333,6,N,11.25,1.5,240,300,M,Adult,22,3,0.0525,11.561,-0.789,10.374,-13.977,-1.137,18.346,0.923,14.495,16.5091945,0.4141471,8.728840626,26.54791284,0.399743231,3.548302267
PM11032422-S6,PM11032422,20,20F,20F-6,12/11/2011,12.875,-33.925,6,Y,11.25,1.5,220,275,F,Adult,15,5,0.048,10.342,-0.436,9.221,-13.835,-0.783,16.561,0.911,13.898,15.7981078,-0.159695,7.80820824,24.20477816,0.39624183,3.616566949
PM10011524-S7,PM10011524,01,01F,01F-7,08/02/2010,14.43333333,-26.475,7,N,13,1,246,307.5,F,Adult,18,6,0.0487,10.695,-0.019,9.627,-13.931,-0.707,17.422,0.758,13.723,15.5896653,-0.5643732,8.104504935,25.00969221,0.35661025,3.600216728
PM11032889-S6,PM11032889,21,21F,21F-6,12/11/2011,12.875,-33.925,6,Y,11.25,1.5,228,285,F,Adult,20,5,0.057,10.051,-0.269,11.369,-13.522,0.451,19.637,0.979,14.303,16.2805033,0.8258923,9.523315235,28.24258336,0.4160831,3.459896031
PM11030018-S6,PM11030018,03,03M,03M-6,07/10/2011,1.74166667,-23.80833333,6,N,11.25,1.5,253,316.25,M,Adult,25,3,0.0479,10.832,-1.101,9.484,-13.001,-0.598,16.489,0.685,12.873,14.5772303,-0.2584687,8.018205046,24.11026516,0.330298786,3.508097202
PM11032886-S6,PM11032886,05,05F,05F-6,12/11/2011,12.875,-33.925,6,N,11.25,1.5,237,296.25,F,Adult,22,4,0.0522,10.497,0.172,10.401,-13.615,-0.542,18.158,0.852,14.124,16.0672964,0.1596074,8.750399233,26.30112891,0.379026611,3.50665719
PM14021253-S8,PM14021253,06,06M,06M-8,13/09/2014,5.51666667,-25.99166667,8,Y,14.75,1.5,228,285,M,Adult,21,3,0.0445,10.859,-1.996,8.844,-14.216,-0.838,15.773,0.677,13.556,15.3907516,0.1434984,7.481295766,22.84990177,0.332642916,3.56331571
PM11022567-S6,PM11022567,17,17M,17M-6,07/10/2011,1.74166667,-23.80833333,6,Y,11.25,1.5,223,278.75,M,Adult,22,3,0.0538,10.514,-1.128,11.054,-13.628,-0.683,18.69,0.928,14.244,16.2102284,-0.0449377,9.271798148,26.99947493,0.401202148,3.397333173
PM10011524-S8,PM10011524,01,01F,01F-8,08/02/2010,14.43333333,-26.475,8,Y,14.75,1.5,246,307.5,F,Adult,18,6,0.0492,10.368,-0.346,9.974,-13.752,-0.528,17.756,0.754,13.705,15.5682255,-0.585813,8.380690863,25.44715128,0.355426678,3.542469665
PM11032886-S7,PM11032886,05,05F,05F-7,12/11/2011,12.875,-33.925,7,Y,13,1,237,296.25,F,Adult,22,4,0.0499,10.525,0.2,9.794,-13.828,-0.755,17.491,0.672,14.811,16.8855821,0.9778931,8.237424387,25.10006549,0.331163451,3.554923039
PM11030018-S7,PM11030018,03,03M,03M-7,07/10/2011,1.74166667,-23.80833333,7,N,13,1,253,316.25,M,Adult,25,3,0.0459,9.989,-1.944,9.116,-13.111,-0.708,16.232,0.648,13.617,15.4634087,0.6277097,7.697787329,23.45108055,0.324062019,3.554215362
PM11030030-S7,PM11030030,04,04M,04M-7,07/10/2011,1.74166667,-23.80833333,7,Y,13,1,240,300,M,Adult,22,3,0.0447,9.77,-2.58,8.843,-14.334,-1.494,16.184,0.725,13.444,15.2573484,-0.837699,7.480499841,23.38821218,0.346845781,3.647650307
PM11030018-S8,PM11030018,03,03M,03M-8,07/10/2011,1.74166667,-23.80833333,8,Y,14.75,1.5,253,316.25,M,Adult,25,3,0.0529,9.708,-2.225,10.693,-13.135,-0.732,18.581,0.748,13.525,15.3538275,0.5181285,8.95296084,26.52770138,0.35365132,3.45684355
